18|PDU port5|https://teamforge6.usd.lab.emc.com/sf/wiki/do/viewPage/projects.c4cb_lx/wiki/OberonInfoInLab|OB-S2005-SPA||||||||45||||||
19|PDU port6|https://teamforge6.usd.lab.emc.com/sf/wiki/do/viewPage/projects.c4cb_lx/wiki/OberonInfoInLab|OB-S2005-SPB||||||||45||||||
20|PDU port7|https://teamforge6.usd.lab.emc.com/sf/wiki/do/viewPage/projects.c4cb_lx/wiki/OberonInfoInLab|||||||||||||||
21|PDU port8|https://teamforge6.usd.lab.emc.com/sf/wiki/do/viewPage/projects.c4cb_lx/wiki/OberonInfoInLab|||||||||||||||
22|IO-Host-KVM-Linux-1|http://10.62.34.99:8080/foswiki/bin/view/Main/LenovoServer|10.62.34.137 	1.1.1.2 	21-00-00-0E-1E-30-CA-EA ||||||||45|28|||||
23|IO-Host-KVM-Linux-2|http://10.62.34.99:8080/foswiki/bin/view/Main/LenovoServer|10.62.34.138 	1.1.1.3 	21-00-00-0E-1E-30-CA-EB||||||||14|45|||||
24|IO-Host-KVM-Win-1|http://10.62.34.99:8080/foswiki/bin/view/Main/LenovoServer|10.62.34.139 (administrator/c4proto!)	1.1.1.4 	21-00-00-0E-1E-30-CA-EE||||||||||||||
25|BEARCAT-00|https://teamforge6.usd.lab.emc.com/sf/wiki/do/viewPage/projects.c4cb_lx/wiki/OberonInfoInLab|DVT|10.62.54.93|10.62.54.94|00:60:16:75:e3:ac|00:60:16:6f:00:14|10.62.54.195|||18|13||10.62.54.95|10.62.54.96|BEARCAT|
26|BEARCAT-01|https://teamforge6.usd.lab.emc.com/sf/wiki/do/viewPage/projects.c4cb_lx/wiki/OberonInfoInLab|EVT, 原 Bearcat 1|10.62.54.172|10.62.54.173|00:60:16:75:5e:f8|00:60:16:75:5f:20|10.62.54.196|||18|||10.62.54.174|10.62.54.175|BEARCAT|
27|BEARCAT-02|https://teamforge6.usd.lab.emc.com/sf/wiki/do/viewPage/projects.c4cb_lx/wiki/OberonInfoInLab|DVT|10.62.54.97|10.62.54.98|00:60:16:75:e2:f4|00:60:16:75:e3:70|10.62.54.191| ||18|||10.62.54.99|10.62.54.100|BEARCAT|
28|BEARCAT-03|https://teamforge6.usd.lab.emc.com/sf/wiki/do/viewPage/projects.c4cb_lx/wiki/OberonInfoInLab|EVT, 原 Bearcat 2 |10.62.54.176|10.62.54.177|00:60:16:75:5f:10|00:60:16:75:5f:38|10.62.54.81|||18|52||10.62.54.178|10.62.54.179|BEARCAT|
29|BEARCAT-04|https://teamforge6.usd.lab.emc.com/sf/wiki/do/viewPage/projects.c4cb_lx/wiki/OberonInfoInLab|DVT, This system cannot be used for FW test|10.62.54.141|10.62.54.142|00:60:16:75:e3:3c|00:60:16:6f:00:4c|10.62.54.192|||18|||10.62.54.143|10.62.54.144|BEARCAT|
30|BEARCAT-05|https://teamforge6.usd.lab.emc.com/sf/wiki/do/viewPage/projects.c4cb_lx/wiki/OberonInfoInLab|EVT, 原 Bearcat 3|10.62.54.136|10.62.54.137|00:60:16:75:5e:d4|00:60:16:75:5f:a4|10.62.54.140|||52|||10.62.54.138|10.62.54.139|BEARCAT|/images/OS-upc_BearcatRel_4_upcBuilder-3.1.3.5625914-GNOSIS_DEBUG.tgz.bin
31|BEARCAT-06|https://teamforge6.usd.lab.emc.com/sf/wiki/do/viewPage/projects.c4cb_lx/wiki/OberonInfoInLab|DVT, 原 Bearcat 4|10.62.54.107|10.62.54.108|00:60:16:75:e7:38|00:60:16:75:e6:ac|10.62.54.194||||||10.62.54.109|10.62.54.110|BEARCAT|/images/OS-upc_BearcatRel_4_upcBuilder-3.1.3.5625914-GNOSIS_DEBUG.tgz.bin
32|BEARCAT-07|https://teamforge6.usd.lab.emc.com/sf/wiki/do/viewPage/projects.c4cb_lx/wiki/OberonInfoInLab|DVT|10.62.54.145|10.62.54.146|00:60:16:75:e3:80|00:60:16:75:e3:6c|10.62.54.193|||49|||10.62.54.147|10.62.54.148|BEARCAT|/images/OS-upc_BearcatRel_4_upcBuilder-3.1.3.5625914-GNOSIS_DEBUG.tgz.bin
33|BEARCAT-08|https://teamforge6.usd.lab.emc.com/sf/wiki/do/viewPage/projects.c4cb_lx/wiki/OberonInfoInLab|DVT, 原 Bearcat 6|10.62.54.121|10.62.54.122|00:60:16:6f:95:b4|00:60:16:6f:00:7c|10.62.54.79|||18|||10.62.54.123|10.62.54.124|BEARCAT|
34|BEARCAT-09|https://teamforge6.usd.lab.emc.com/sf/wiki/do/viewPage/projects.c4cb_lx/wiki/OberonInfoInLab|DVT, 原 Bearcat 7|10.62.54.125|10.62.54.126|00:60:16:6f:00:64|00:60:16:6f:00:10|10.62.54.83|||18|||10.62.54.127|10.62.54.128|BEARCAT|
35|BEARCAT-10|https://teamforge6.usd.lab.emc.com/sf/wiki/do/viewPage/projects.c4cb_lx/wiki/OberonInfoInLab|DVT|10.62.54.129|10.62.54.130|00:60:16:75:5f:44|00:60:16:75:e2:d8|10.62.54.80||||||10.62.54.131|10.62.54.132|BEARCAT|/images/OS-upc_BearcatRel_4_upcBuilder-3.1.3.5625914-GNOSIS_DEBUG.tgz.bin
36|BEARCAT-11|https://teamforge6.usd.lab.emc.com/sf/wiki/do/viewPage/projects.c4cb_lx/wiki/OberonInfoInLab|DVT, 原 Bearcat 5|10.62.54.117|10.62.54.118|00:60:16:6f:00:40|00:60:16:6f:00:a0|10.62.54.82||||||10.62.54.119|10.62.54.120|BEARCAT|
37|OB-S2014|https://teamforge6.usd.lab.emc.com//sf/wiki/do/viewPageprojects.c4cb_lx/wiki/OberonInfoInLab||10.62.34.91|10.62.34.92|00:60:16:6f:ab:aa|00:60:16:6f:b3:9e|10.62.34.237||||||10.62.34.235|10.62.34.236|OBERON|
